Sailing Date,Ship Name,Departure Port,Itinerary,Nights,Cabin Type,CASINO OVERVIEW OFFER TYPE,Offer Name,Offer Code,OFFER EXPIRE DATE
09-07-2025,Oasis of the Seas,Fort Lauderdale,7 NIGHT EASTERN CARIBBEAN CRUISE,7,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
10-05-2025,Oasis of the Seas,Fort Lauderdale,7 NIGHT EASTERN CARIBBEAN CRUISE,7,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
09-07-2025,Rhapsody of the Seas,San Juan,7 NIGHT SOUTHERN CARIBBEAN CRUISE,7,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
09-14-2025,Rhapsody of the Seas,San Juan,7 NIGHT SOUTHERN CARIBBEAN CRUISE,7,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
10-12-2025,Rhapsody of the Seas,San Juan,7 NIGHT SOUTHERN CARIBBEAN CRUISE,7,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
10-19-2025,Rhapsody of the Seas,San Juan,7 NIGHT SOUTHERN CARIBBEAN CRUISE,7,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
10-26-2025,Rhapsody of the Seas,San Juan,7 NIGHT SOUTHERN CARIBBEAN CRUISE,7,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
09-13-2025,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
09-22-2025,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
10-06-2025,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
10-20-2025,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
10-25-2025,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
11-03-2025,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
11-08-2025,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
11-17-2025,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
12-01-2025,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
12-06-2025,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
12-15-2025,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
01-03-2026,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
01-12-2026,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
01-17-2026,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
01-26-2026,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
01-31-2026,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
02-09-2026,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
02-14-2026,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
02-23-2026,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
02-28-2026,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
03-09-2026,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
03-14-2026,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
03-23-2026,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
03-28-2026,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
04-11-2026,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
04-20-2026,Enchantment of the Seas,Tampa,5 NIGHT WESTERN CARIBBEAN CRUISE,5,Ocean View,Exclusive Stateroom Offer,2025 August Instant Rewards,2508A05,10-03-2025
