cruiseId,shipName,sailDateStart,sailDateEnd,sourceType,category,description,amount,verified
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Shopping,Port Merchants,65,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Gaming,Club Royale Entertainment Games,112,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Gaming,Club Royale Entertainment Games,107,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,,#NAME?,Onboard Gratuities,-37,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Internet / Communications,Internet,55.98,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Gaming,Club Royale Entertainment Games,117,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Gaming,Club Royale Entertainment Games,42,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Refund - Internet / Communications,Internet,-16.79,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
3156149,Navigator Of The Seas,9/8/25,9/12/25,STATEMENT,Spa,Spa/Salon,1.84,TRUE
3156149,Navigator Of The Seas,9/8/25,9/12/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
3156149,Navigator Of The Seas,9/8/25,9/12/25,STATEMENT,Gaming,Club Royale Entertainment Games,107,TRUE
3156149,Navigator Of The Seas,9/8/25,9/12/25,STATEMENT,Gaming,Club Royale Entertainment Games,241,TRUE
3156149,Navigator Of The Seas,9/8/25,9/12/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
